n;Etat1;Etat2;Etat3;Etat4;Etat5;Etat6;Etat7;Etat8;Etat9;Etat10;Etat11;Etat12;Etat13;Etat14;Etat15;Etat16;Etat17;Etat18;Etat19;Etat20;Etat21;Etat22;Etat23;Etat24;Etat25;Etat26;Etat27
0;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;0.00000;0.30000;0.00000;0.00000;0.40000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.10000;0.00000;0.10000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.20000;0.00000;0.00000;0.00000;0.20000;0.00000;0.00000
2;0.00000;0.23000;0.00000;0.00000;0.23000;0.00000;0.00000;0.00000;0.00000;0.04000;0.00000;0.26000;0.00000;0.15000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.27000;0.00000;0.00000;0.01000;0.20000;0.00000;0.00000
3;0.00000;0.23900;0.00000;0.00000;0.23200;0.00000;0.00000;0.00000;0.00000;0.10600;0.00000;0.24700;0.00000;0.12900;0.00000;0.00000;0.00000;0.00000;0.00700;0.00000;0.22800;0.01000;0.00000;0.02700;0.25300;0.00000;0.00000
4;0.00000;0.24220;0.00000;0.00000;0.24180;0.00000;0.00000;0.00000;0.00000;0.10760;0.00000;0.23640;0.00000;0.12190;0.00000;0.00000;0.00000;0.00000;0.02320;0.00000;0.24080;0.02800;0.00000;0.04980;0.23650;0.00000;0.00000
5;0.00000;0.23923;0.00000;0.00000;0.23963;0.00000;0.00000;0.00000;0.00000;0.11476;0.00000;0.24002;0.00000;0.12134;0.00000;0.00000;0.00000;0.00000;0.04010;0.00000;0.23965;0.03612;0.00000;0.05983;0.23977;0.00000;0.00000
6;0.00000;0.23968;0.00000;0.00000;0.23956;0.00000;0.00000;0.00000;0.00000;0.12322;0.00000;0.23971;0.00000;0.12039;0.00000;0.00000;0.00000;0.00000;0.05309;0.00000;0.23963;0.04294;0.00000;0.06943;0.23965;0.00000;0.00000
7;0.00000;0.23966;0.00000;0.00000;0.23967;0.00000;0.00000;0.00000;0.00000;0.12897;0.00000;0.23963;0.00000;0.12003;0.00000;0.00000;0.00000;0.00000;0.06399;0.00000;0.23963;0.04915;0.00000;0.07781;0.23966;0.00000;0.00000
8;0.00000;0.23965;0.00000;0.00000;0.23965;0.00000;0.00000;0.00000;0.00000;0.13404;0.00000;0.23965;0.00000;0.11991;0.00000;0.00000;0.00000;0.00000;0.07315;0.00000;0.23966;0.05415;0.00000;0.08464;0.23964;0.00000;0.00000
9;0.00000;0.23965;0.00000;0.00000;0.23965;0.00000;0.00000;0.00000;0.00000;0.13825;0.00000;0.23965;0.00000;0.11986;0.00000;0.00000;0.00000;0.00000;0.08079;0.00000;0.23965;0.05837;0.00000;0.09039;0.23965;0.00000;0.00000
10;0.00000;0.23965;0.00000;0.00000;0.23965;0.00000;0.00000;0.00000;0.00000;0.14177;0.00000;0.23965;0.00000;0.11984;0.00000;0.00000;0.00000;0.00000;0.08717;0.00000;0.23965;0.06189;0.00000;0.09521;0.23965;0.00000;0.00000
